"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"26/03/2024","98,717.0","97,859.0","99,147.0","97,516.0","1.95M","0.88%"
"25/03/2024","97,859.0","97,945.0","98,803.0","97,687.0","3.21M","-0.78%"
"22/03/2024","98,632.0","99,833.0","99,833.0","98,288.0","2.78M","-1.12%"
"21/03/2024","99,748.0","98,889.0","99,748.0","98,374.0","4.32M","1.49%"
"20/03/2024","98,288.0","96,400.0","98,717.0","95,370.0","4.00M","2.23%"
"19/03/2024","96,142.0","97,001.0","97,001.0","95,370.0","3.81M","-0.89%"
"18/03/2024","97,001.0","99,404.0","99,404.0","95,370.0","6.77M","-2.59%"
"15/03/2024","99,576.0","100,263.0","100,263.0","98,288.0","4.41M","-0.85%"
"14/03/2024","100,434.0","101,722.0","101,722.0","99,318.0","3.98M","0.00%"
"13/03/2024","100,434.0","96,829.0","100,434.0","96,142.0","5.88M","4.56%"
"12/03/2024","96,056.0","94,425.0","97,430.0","94,425.0","3.34M","1.73%"
"11/03/2024","94,425.0","94,425.0","97,430.0","94,425.0","3.89M","0.00%"
"08/03/2024","94,425.0","95,541.0","96,657.0","93,996.0","3.58M","-1.17%"
"07/03/2024","95,541.0","93,653.0","97,773.0","92,880.0","4.64M","2.02%"
"06/03/2024","93,653.0","94,425.0","94,769.0","93,052.0","4.26M","-1.44%"
